h,warm,cold,warm_cum,cold_cum
0,0.6888405497787932,0.1872260134780574,0.6888405497787932,0.1872260134780574
1,-0.12352929808312212,-0.829682009744122,0.5653112516956711,-0.6424559962660645
2,-0.5206332030328521,-1.3713823914291214,0.04467804866281899,-2.013838387695186
3,-0.4467887830694062,-1.5267470874085969,-0.40211073440658723,-3.540585475103783
4,-0.47792442989239586,-1.6390504485987833,-0.8800351642989831,-5.179635923702566
5,0.045240178645991336,-0.9182798769473071,-0.8347949856529917,-6.097915800649873
6,0.06960698896326176,-0.45113201562040645,-0.7651879966897299,-6.54904781627028
7,0.12218499160438175,0.08365850469168204,-0.6430030050853481,-6.465389311578598
8,-0.5558168288839865,-0.3756629498487276,-1.1988198339693348,-6.8410522614273255
9,-1.3360838050923642,-0.6819062439699675,-2.534903639061699,-7.522958505397293
10,0.33728125158918504,0.8563558935755962,-2.197622387472514,-6.6666026118216966
11,0.8288971571410005,1.0829538656350604,-1.3687252303315134,-5.583648746186636
12,0.43652268187998394,-0.29010116899043864,-0.9322025484515295,-5.873749915177075
13,-0.42012967171508414,-1.3381620132949417,-1.3523322201666137,-7.211911928472016
14,0.5217072115570845,-1.152004227945378,-0.8306250086095291,-8.363916156417394
15,0.7941223730654688,-1.2903530866726651,-0.0365026355440603,-9.65426924309006
16,0.5516557580446736,-1.5482802756257747,0.5151531225006133,-11.202549518715834
17,0.7096025037935983,-1.1023078185575852,1.2247556262942116,-12.30485733727342
18,0.9793494312805059,-0.411561622730571,2.2041050575747176,-12.716418960003992
