date,temp_anom,cpi,oil,pce_nom,unemploy,pop,y10,sp500,div,gold,infl,dloil,pce_real,act,unrate,dy10,ret_eq,ret_bond,ret_gold,temp_shock
1999-05-01,0.241,166.2,15.225263157894739,6253.4,5796.0,278717.0,5.54,1332.07,16.45,276.44,0.0,-0.45371886094454084,37.62575210589651,0.47767983752806664,2.079528697567784,0.3600000000000003,-0.09888062080408938,-2.448333333333336,-2.2109439931407238,-0.10563634471399208
1999-06-01,0.3194,166.2,15.863181818181818,6281.9,5951.0,279001.0,5.9,1322.55,16.45,261.31,0.0,4.104471710109747,37.797232250300844,0.454716665850885,2.1329672653503033,0.3600000000000003,-0.6136461117686408,-2.418333333333336,-5.628635724138764,-0.02778754496427438
1999-07-01,0.3068,166.7,19.080000000000002,6309.5,6025.0,279295.0,5.79,1380.99,16.513333333333335,256.08,3.6046888024802826,18.463985088167156,37.849430113977206,0.1380044282967674,2.1572172792208955,-0.11000000000000032,4.123100568086621,1.0712759331266457,-2.3221453655597912,-0.04093874521455659
1999-08-01,0.2986,167.1,20.219047619047622,6354.8,5838.0,279602.0,5.94,1327.49,16.576666666666668,256.69,2.8759750135201045,5.798444552559223,38.029922202274086,0.47573529083031474,2.087967897225342,0.15000000000000036,-4.086727691268726,-0.9571645844600116,-0.0017410367660453119,-0.04968994546483896
1999-09-01,0.2712,167.9,22.543181818181818,6407.4,5915.0,279903.0,5.92,1318.17,16.64,264.74,5.731354178576709,10.880755028795397,38.162001191185226,0.3467011077538995,2.1132320839719476,-0.020000000000000462,-1.0770248031751102,0.17738715178527803,2.61029526649299,-0.07764114571512126
1999-10-01,0.3026,168.2,22.002380952380953,6431.2,5778.0,280203.0,6.11,1300.01,16.656666666666666,310.72,2.142220146422602,-2.428198922306013,38.235434007134366,0.19223901528442333,2.0620764231646342,0.1900000000000004,-1.4590480565894168,-1.2051850122018866,15.835878936198355,-0.0467923459654036
1999-11-01,0.2789,168.3,24.58409090909091,6467.2,5716.0,280471.0,6.03,1391.0,16.673333333333332,293.18,0.7132243894947266,11.094885010735611,38.42661913250148,0.4987748537637948,2.0380003636739628,-0.08000000000000007,6.805498568725459,1.0897313008754401,-5.869978389898733,-0.07104354621568582
1999-12-01,0.3091,168.3,25.473157894736843,6568.2,5653.0,280716.0,6.28,1428.68,16.69,283.07,0.0,3.552574346173909,39.026737967914436,1.549657412926475,2.0137790507131763,0.25,2.7701063903285754,-1.4975,-3.509253798125034,-0.041394746465968135
2000-01-01,0.173,168.8,25.511,6564.7,5708.0,280976.0,6.66,1425.59,16.713333333333335,284.32,3.559777158116262,0.14844655192884915,38.89040284360189,-0.3499493488280603,2.0314902340413417,0.3799999999999999,-0.4155152425375124,-2.8133147631763546,0.14396665606088987,-0.17804594671625046
2000-02-01,0.4892,169.8,27.775714285714283,6648.7,5858.0,281190.0,6.52,1388.87,16.736666666666668,299.86,7.08803005846832,8.50523203534106,39.15606595995288,0.6807845286911807,2.083288879405384,-0.14000000000000057,-3.0998278183210806,1.084330828460978,4.730864294502624,0.13760285303346725
2000-03-01,0.4372,171.2,27.48608695652174,6714.8,5733.0,281409.0,6.26,1442.21,16.76,286.39,9.853427796473113,-1.048210425883589,39.22196261682243,0.16815088001798095,2.037248275641504,-0.2599999999999998,3.044295515030236,1.8022143502939052,-5.417237062136326,0.08505165278318488
2000-04-01,0.5274,171.3,22.764444444444443,6701.0,5481.0,281653.0,5.99,1461.36,16.740000000000002,279.69,0.7007299469197648,-18.84800832385345,39.11850554582603,-0.26412180975206034,1.9460115816270376,-0.2699999999999996,1.3561042949497017,2.62327250442335,-2.425661292150938,0.17470045253290267
